allgenders_0age_avg_vote;allgenders_0age_votes;allgenders_18age_avg_vote;allgenders_18age_votes;allgenders_30age_avg_vote;allgenders_30age_votes;allgenders_45age_avg_vote;allgenders_45age_votes;males_allages_avg_vote;males_allages_votes;males_0age_avg_vote;males_0age_votes;males_18age_avg_vote;males_18age_votes;males_30age_avg_vote;males_30age_votes;males_45age_avg_vote;males_45age_votes;females_allages_avg_vote;females_allages_votes;females_0age_avg_vote;females_0age_votes;females_18age_avg_vote;females_18age_votes;females_30age_avg_vote;females_30age_votes;females_45age_avg_vote;females_45age_votes;votes;allgenders_allages_votes;allgenders_allages_avg_vote;main_actor;supporting_actor_1;supporting_actor_2
8.2;35.0;8.1;11657.0;8.1;21056.0;8.0;7394.0;8.1;33703.0;8.2;28.0;8.1;8990.0;8.0;17468.0;8.0;6069.0;8.1;7322.0;8.0;6.0;8.1;2493.0;8.2;3361.0;8.1;1224.0;40142.0;40142.0;7.9;Werner Krauss;Conrad Veidt;Friedrich Feher
8.5;116.0;8.4;26592.0;8.3;34821.0;8.3;12345.0;8.3;65142.0;8.5;100.0;8.4;21855.0;8.3;29733.0;8.2;10344.0;8.4;11632.0;8.7;10.0;8.4;4460.0;8.4;4752.0;8.3;1812.0;73874.0;73874.0;8.2;Carl Miller;Edna Purviance;Jackie Coogan
8.3;81.0;8.2;20133.0;8.1;33578.0;8.2;13986.0;8.2;61240.0;8.4;68.0;8.2;17291.0;8.1;29480.0;8.3;11976.0;8.1;8659.0;6.6;11.0;8.1;2641.0;8.1;3789.0;8.1;1832.0;67778.0;67778.0;8.1;Charles Chaplin;Mack Swain;Tom Murray
8.3;77.0;8.3;28391.0;8.2;58194.0;8.3;23166.0;8.3;94002.0;8.4;59.0;8.3;22061.0;8.2;48802.0;8.3;19530.0;8.3;18799.0;8.1;15.0;8.2;5992.0;8.3;8707.0;8.3;3334.0;109828.0;109828.0;8.1;Alfred Abel;Gustav Fröhlich;Rudolf Klein-Rogge
6.6;9.0;7.6;1500.0;7.4;3598.0;7.7;3252.0;7.5;7048.0;6.6;5.0;7.6;1220.0;7.4;3050.0;7.7;2593.0;7.4;1447.0;6.8;4.0;7.5;266.0;7.4;514.0;7.5;621.0;8359.0;8359.0;7.7;Clara Bow;Charles 'Buddy' Rogers;Richard Arlen
7.9;22.0;8.3;5811.0;8.2;8955.0;8.1;3944.0;8.2;16701.0;7.9;20.0;8.3;4997.0;8.2;7907.0;8.0;3242.0;8.2;2489.0;8.0;2.0;8.3;764.0;8.2;976.0;8.2;661.0;18732.0;18732.0;8.0;Al Ernest Garcia;Merna Kennedy;Harry Crocker
8.5;148.0;8.6;38349.0;8.5;53607.0;8.5;19875.0;8.5;99110.0;8.6;125.0;8.6;31849.0;8.5;45797.0;8.5;16557.0;8.5;17067.0;8.4;14.0;8.5;6081.0;8.5;7216.0;8.4;2995.0;111979.0;111979.0;8.3;Virginia Cherrill;Florence Lee;Harry Myers
7.8;36.0;7.5;7862.0;7.4;16484.0;7.6;8648.0;7.5;28597.0;7.7;30.0;7.5;6268.0;7.4;14098.0;7.6;7286.0;7.6;5151.0;6.8;4.0;7.5;1508.0;7.6;2217.0;7.9;1261.0;33030.0;33030.0;7.6;Bela Lugosi;Helen Chandler;David Manners
6.0;5.0;7.6;1732.0;7.6;4335.0;7.7;3344.0;7.6;8016.0;7.7;3.0;7.6;1359.0;7.6;3674.0;7.7;2808.0;7.7;1518.0;3.5;2.0;7.6;358.0;7.7;626.0;7.6;494.0;9416.0;9416.0;7.6;Fredric March;Miriam Hopkins;Rose Hobart
7.5;20.0;7.9;6669.0;7.9;16653.0;7.9;7806.0;7.9;25783.0;7.6;18.0;7.9;5010.0;7.9;13577.0;7.9;6480.0;8.0;5879.0;9.0;1.0;8.0;1588.0;8.0;2894.0;8.0;1205.0;31148.0;31148.0;7.9;Wallace Ford;Leila Hyams;Olga Baclanova
